year,count_date,hour,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,count_point_id
2005,27/05/2005,7,N,1,2,219,4,22,2,0,0,0,1,0,3,250,16884
2005,27/05/2005,8,N,1,2,302,3,17,3,0,0,1,0,0,4,328,16884
2005,27/05/2005,9,N,2,2,302,0,14,4,0,0,1,0,0,5,179,16884
2005,27/05/2005,10,N,2,2,125,0,25,6,0,1,0,0,0,7,157,16884
2005,27/05/2005,11,N,0,0,128,1,20,11,0,0,1,1,0,13,162,16884
2005,27/05/2005,12,N,0,2,190,1,23,7,2,4,0,0,0,13,229,16884
2005,27/05/2005,13,N,0,2,139,3,36,4,0,0,0,1,1,6,186,16884
2005,27/05/2005,14,N,0,1,149,0,27,7,1,2,0,0,0,10,187,16884
2005,27/05/2005,15,N,2,4,217,1,25,3,0,1,0,1,0,5,252,16884
2005,27/05/2005,16,N,0,4,291,1,34,2,0,1,2,0,0,5,335,16884
2005,27/05/2005,17,N,1,6,279,1,19,3,0,0,0,0,0,3,308,16884
2005,27/05/2005,18,N,1,5,245,1,8,3,0,0,0,0,0,3,262,16884
2005,27/05/2005,7,S,0,2,212,3,30,7,0,0,1,0,0,8,255,16884
2005,27/05/2005,8,S,0,2,311,4,28,2,0,0,0,0,0,2,347,16884
2005,27/05/2005,9,S,1,2,172,0,20,0,0,0,2,0,1,3,197,16884
2005,27/05/2005,10,S,0,0,128,1,24,4,1,0,1,1,1,8,161,16884
2005,27/05/2005,11,S,1,1,127,0,19,6,0,1,1,0,0,8,155,16884
2005,27/05/2005,12,S,0,2,146,0,24,6,0,0,1,0,0,7,179,16884
2005,27/05/2005,13,S,1,1,151,3,28,1,0,0,0,0,0,1,184,16884
2005,27/05/2005,14,S,0,2,150,1,35,4,0,0,0,1,0,5,193,16884
2005,27/05/2005,15,S,0,1,222,1,17,2,0,1,1,0,0,4,245,16884
2005,27/05/2005,16,S,0,3,212,0,25,4,0,0,0,0,0,4,244,16884
2005,27/05/2005,17,S,1,2,266,1,15,1,0,0,0,1,0,2,286,16884
2005,27/05/2005,18,S,1,1,229,0,15,1,0,0,0,0,0,1,246,16884
2005,05/10/2005,7,N,0,15,1560,6,206,26,1,0,11,1,0,39,1826,17564
2005,05/10/2005,8,N,1,22,2022,9,123,31,0,4,15,1,0,51,2227,17564
2005,05/10/2005,9,N,0,14,1140,6,123,39,3,4,8,1,1,56,1339,17564
2005,05/10/2005,10,N,0,5,520,3,104,27,2,1,9,3,1,43,675,17564
2005,05/10/2005,11,N,0,3,518,0,102,38,3,5,14,2,0,62,685,17564
2005,05/10/2005,12,N,0,9,568,6,86,40,3,5,8,1,0,57,726,17564
2005,05/10/2005,13,N,0,5,718,2,89,30,4,1,6,4,0,45,859,17564
2005,05/10/2005,14,N,1,7,546,3,97,34,1,5,11,2,3,56,709,17564
2005,05/10/2005,15,N,0,3,620,9,109,34,1,6,7,3,2,53,794,17564
2005,05/10/2005,16,N,0,5,599,9,88,24,3,2,13,1,5,48,749,17564
2005,05/10/2005,17,N,0,9,705,1,91,9,0,1,10,4,1,25,831,17564
2005,05/10/2005,18,N,0,8,753,3,52,8,0,0,5,0,0,13,829,17564
2005,05/10/2005,7,S,0,4,499,14,145,26,3,3,6,1,1,40,702,17564
2005,05/10/2005,8,S,0,7,681,4,97,26,3,0,9,2,1,41,830,17564
2005,05/10/2005,9,S,0,2,547,5,111,25,1,4,6,2,2,40,705,17564
2005,05/10/2005,10,S,0,2,429,3,104,29,4,1,8,4,1,47,585,17564
2005,05/10/2005,11,S,0,3,546,4,89,25,2,2,2,2,3,36,678,17564
2005,05/10/2005,12,S,0,2,740,5,89,36,1,3,3,1,1,45,881,17564
2005,05/10/2005,13,S,0,6,683,4,94,17,1,3,22,3,1,47,834,17564
2005,05/10/2005,14,S,1,4,765,5,108,14,2,2,7,2,1,28,910,17564
2005,05/10/2005,15,S,0,3,803,3,149,17,1,1,2,0,2,23,981,17564
2005,05/10/2005,16,S,0,12,1276,4,174,6,0,4,2,0,0,12,1478,17564
2005,05/10/2005,17,S,0,27,1646,0,94,3,0,0,0,2,0,5,1772,17564
2005,05/10/2005,18,S,0,19,1315,1,70,3,1,0,3,1,1,9,1414,17564
2005,18/05/2005,17,W,0,10,824,4,64,6,1,0,0,0,1,8,910,36977
2005,18/05/2005,18,W,1,9,745,5,59,5,0,0,1,1,0,7,825,36977
2005,18/05/2005,7,E,7,5,690,13,85,14,1,3,0,3,1,22,815,36977
2005,18/05/2005,8,E,3,11,1050,5,96,13,0,2,0,1,4,20,1182,36977
2005,18/05/2005,9,E,4,8,787,11,76,16,0,5,4,2,2,29,911,36977
2005,18/05/2005,10,E,0,2,500,5,106,19,4,0,1,1,1,26,639,36977
2005,18/05/2005,11,E,0,2,421,6,85,27,3,3,0,3,4,40,554,36977
2005,18/05/2005,12,E,2,8,691,6,83,23,3,1,0,4,2,33,821,36977
2005,18/05/2005,13,E,1,7,545,3,82,23,2,0,0,0,1,26,663,36977
2005,18/05/2005,14,E,1,2,526,13,81,13,1,1,1,2,1,19,641,36977
2005,18/05/2005,15,E,0,11,757,8,93,9,1,1,0,1,0,12,881,36977
2005,18/05/2005,16,E,0,6,757,8,85,5,1,0,0,3,7,16,872,36977
2005,18/05/2005,17,E,3,18,1246,4,88,8,1,0,0,2,0,11,1367,36977
2005,18/05/2005,18,E,3,3,1084,2,59,3,0,0,0,0,0,3,1151,36977
2005,18/05/2005,7,W,1,10,693,4,65,15,2,2,0,1,0,20,792,36977
2005,18/05/2005,8,W,2,5,1177,6,79,16,1,1,1,1,1,21,1288,36977
2005,18/05/2005,9,W,0,8,654,8,86,20,3,2,4,2,2,33,789,36977
2005,18/05/2005,10,W,1,4,419,6,85,17,3,1,2,0,1,24,538,36977
2005,18/05/2005,11,W,1,3,448,5,88,17,2,1,1,2,0,23,567,36977
2005,18/05/2005,12,W,1,7,524,7,90,18,0,0,1,3,2,24,652,36977
2005,18/05/2005,13,W,0,9,531,2,79,16,1,2,0,4,1,24,645,36977
2005,18/05/2005,14,W,0,1,370,3,66,23,4,0,1,2,1,31,471,36977
2005,18/05/2005,15,W,1,10,553,6,85,15,2,1,0,0,1,19,673,36977
2005,18/05/2005,16,W,1,7,686,9,101,10,1,0,1,0,1,13,816,36977
2005,23/05/2005,7,E,0,10,2011,8,302,81,8,10,21,27,26,173,2504,38091
2005,23/05/2005,8,E,0,15,2498,9,169,55,5,5,15,19,25,124,2815,38091
2005,23/05/2005,9,E,0,13,1593,12,194,79,7,10,13,37,25,171,1983,38091
2005,23/05/2005,10,E,0,8,1054,11,209,86,10,5,21,41,32,195,1477,38091
2005,23/05/2005,11,E,0,9,958,8,177,79,9,10,15,45,17,175,1327,38091
2005,23/05/2005,12,E,1,4,1266,9,195,49,6,9,24,24,30,142,1616,38091
2005,23/05/2005,13,E,0,1,981,6,136,45,5,7,13,30,41,141,1265,38091
2005,23/05/2005,14,E,0,4,757,4,129,34,2,0,19,25,17,97,991,38091
2005,23/05/2005,15,E,0,4,668,5,154,27,4,6,12,47,19,115,946,38091
2005,23/05/2005,16,E,0,5,857,5,197,28,2,1,10,17,36,94,1158,38091
2005,23/05/2005,17,E,1,25,1283,2,171,10,3,0,11,18,27,69,1550,38091
2005,23/05/2005,18,E,0,9,1625,6,115,20,3,1,12,38,27,101,1856,38091
2005,23/05/2005,7,W,0,15,1934,14,271,64,8,2,2,21,23,120,2354,38091
2005,23/05/2005,8,W,1,17,1953,15,170,48,6,6,8,24,13,105,2260,38091
2005,23/05/2005,9,W,0,13,1487,12,191,92,7,6,22,43,35,205,1908,38091
2005,23/05/2005,10,W,0,5,1112,13,193,86,6,17,26,41,22,198,1521,38091
2005,23/05/2005,11,W,0,7,986,9,195,81,12,8,24,30,24,179,1376,38091
2005,23/05/2005,12,W,0,3,906,8,174,58,10,10,12,26,20,136,1227,38091
2005,23/05/2005,13,W,0,6,762,8,181,60,7,9,26,38,24,164,1121,38091
2005,23/05/2005,14,W,0,6,820,11,173,52,9,7,19,22,25,134,1144,38091
2005,23/05/2005,15,W,0,5,880,11,151,48,4,9,0,29,36,126,1173,38091
2005,23/05/2005,16,W,0,10,1099,17,210,33,3,3,8,33,29,109,1445,38091
2005,23/05/2005,17,W,0,18,1519,8,135,17,4,2,4,18,18,63,1743,38091
2005,23/05/2005,18,W,1,16,1900,7,84,29,5,1,14,34,26,109,2116,38091
2005,06/07/2005,7,N,1,4,902,3,186,25,3,2,7,2,2,41,1136,38783
2005,06/07/2005,8,N,0,12,939,2,123,19,3,1,4,1,5,33,1109,38783
2005,06/07/2005,9,N,2,4,610,0,116,17,2,6,6,3,3,37,767,38783
2005,06/07/2005,10,N,1,3,530,2,95,16,2,6,5,1,4,34,664,38783
2005,06/07/2005,11,N,0,1,627,2,89,26,2,1,6,4,3,42,761,38783
2005,06/07/2005,12,N,1,4,713,0,90,25,1,5,8,3,3,45,852,38783
2005,06/07/2005,13,N,3,5,737,2,98,25,2,3,5,5,2,42,884,38783
2005,06/07/2005,14,N,2,4,914,3,131,13,2,2,4,2,0,23,1075,38783
2005,06/07/2005,15,N,3,9,962,5,116,14,1,2,5,6,1,29,1121,38783
2005,06/07/2005,16,N,2,10,1195,5,137,15,1,1,8,0,1,26,1373,38783
2005,06/07/2005,17,N,10,8,1545,4,95,8,0,0,8,4,1,21,1673,38783
2005,06/07/2005,18,N,1,10,1289,1,53,4,0,0,4,2,0,10,1363,38783
2005,06/07/2005,7,S,2,11,1031,6,160,19,1,0,8,2,2,32,1240,38783
2005,06/07/2005,8,S,0,8,1127,1,108,18,1,3,2,1,0,25,1269,38783
2005,06/07/2005,9,S,0,5,820,4,75,28,1,3,3,5,3,43,947,38783
2005,06/07/2005,10,S,0,1,621,3,89,32,3,6,8,3,1,53,767,38783
2005,06/07/2005,11,S,0,4,601,2,107,21,6,3,2,2,3,37,751,38783
2005,06/07/2005,12,S,1,2,561,1,87,22,3,1,1,3,0,30,681,38783
2005,06/07/2005,13,S,0,3,618,2,91,25,1,3,11,4,1,45,759,38783
2005,06/07/2005,14,S,0,10,576,5,98,15,1,5,9,1,1,32,721,38783
2005,06/07/2005,15,S,1,2,714,1,105,17,2,2,4,2,0,27,849,38783
2005,06/07/2005,16,S,1,7,863,5,108,12,1,3,1,1,0,18,1001,38783
2005,06/07/2005,17,S,1,7,1056,1,63,7,0,1,2,3,3,16,1143,38783
2005,06/07/2005,18,S,2,15,999,0,50,4,1,0,1,2,0,8,1072,38783
2005,15/06/2005,7,E,2,16,1933,2,324,58,6,6,6,34,21,131,2406,78287
2005,15/06/2005,8,E,1,12,1719,4,160,36,3,1,6,18,10,74,1969,78287
